,d,r,c
148,266,0,0
149,267,0,0
150,268,0,0
151,269,0,0
152,270,0,0
153,271,0,0
154,272,0,0
155,273,0,0
156,274,0,0
157,276,0,0
158,277,0,0
159,278,0,0
160,279,0,0
161,281,0,0
162,282,0,0
163,283,0,0
164,284,0,0
165,285,0,0
166,286,0,0
167,297,0,0
168,298,0,0
169,301,0,0
170,302,0,0
171,303,0,0
172,305,0,0
173,307,0,0
174,308,0,0
175,314,1,0
176,327,0,0
177,328,0,0
178,329,0,0
179,0,1,1
180,2,1,1
181,4,1,1
182,7,1,1
183,9,1,1
184,10,1,1
185,11,1,1
186,12,1,1
187,17,1,1
188,19,1,1
189,20,1,1
190,21,1,1
191,22,1,1
192,25,1,1
193,28,1,1
194,33,1,1
195,40,1,1
196,44,0,1
197,46,1,1
198,49,1,1
199,50,1,1
200,51,1,1
201,54,0,1
202,57,0,1
203,58,0,1
204,60,0,1
205,64,0,1
206,65,0,1
207,67,0,1
208,70,0,1
209,80,0,1
210,81,0,1
211,85,0,1
212,88,0,1
213,91,0,1
214,93,0,1
215,99,0,1
216,103,0,1
217,105,0,1
218,116,0,1
219,119,0,1
220,121,0,1
221,123,0,1
222,125,0,1
223,127,0,1
224,131,0,1
225,132,0,1
226,138,0,1
227,140,0,1
228,141,0,1
229,143,0,1
230,144,0,1
231,146,0,1
232,147,0,1
233,157,0,1
234,158,0,1
235,161,1,1
236,162,1,1
237,167,0,1
238,173,1,1
239,177,1,1
240,179,0,1
241,181,0,1
242,183,0,1
243,186,0,1
244,188,0,1
245,189,0,1
246,190,0,1
247,192,0,1
248,193,0,1
249,198,0,1
250,200,0,1
251,201,0,1
252,202,0,1
253,206,0,1
254,207,0,1
255,208,0,1
256,209,0,1
257,218,0,1
258,221,0,1
259,223,0,1
260,224,0,1
261,225,0,1
262,226,0,1
263,230,0,1
264,232,0,1
265,242,0,1
266,248,0,1
267,252,0,1
268,254,0,1
269,255,0,1
270,256,0,1
271,257,0,1
272,258,0,1
273,260,0,1
274,264,0,1
275,267,0,1
276,268,0,1
277,269,0,1
278,270,0,1
279,272,0,1
280,278,0,1
281,281,0,1
282,283,0,1
283,285,0,1
284,286,0,1
285,297,0,1
286,298,0,1
287,301,0,1
288,314,1,1
289,323,0,1
290,324,0,1
291,333,0,1
292,0,1,2
293,2,1,2
294,4,1,2
295,5,1,2
296,6,1,2
297,9,1,2
298,11,1,2
299,17,1,2
300,20,1,2
301,21,1,2
302,22,1,2
303,24,1,2
304,28,1,2
305,33,1,2
306,40,1,2
307,41,1,2
308,44,0,2
309,46,0,2
310,49,1,2
311,58,0,2
312,60,0,2
313,62,0,2
314,65,0,2
315,66,0,2
316,67,0,2
317,70,0,2
318,72,0,2
319,73,0,2
320,74,0,2
321,78,0,2
322,79,0,2
323,80,0,2
324,83,0,2
325,85,0,2
326,88,0,2
327,91,0,2
328,93,0,2
329,94,0,2
330,95,0,2
331,99,0,2
332,100,0,2
333,101,0,2
334,103,0,2
335,105,0,2
336,115,0,2
337,117,0,2
338,118,0,2
339,121,0,2
340,122,0,2
341,123,0,2
342,125,0,2
343,126,0,2
344,127,0,2
345,131,0,2
346,132,0,2
347,135,0,2
348,136,0,2
349,140,0,2
350,141,0,2
351,142,0,2
352,144,0,2
353,146,0,2
354,147,0,2
355,150,0,2
356,157,0,2
357,158,0,2
358,162,1,2
359,166,0,2
360,167,0,2
361,177,1,2
362,183,0,2
363,184,0,2
364,186,0,2
365,189,0,2
366,192,0,2
367,193,0,2
368,198,0,2
369,200,0,2
370,201,0,2
371,202,0,2
372,203,0,2
373,204,0,2
374,206,0,2
375,207,0,2
376,210,0,2
377,218,0,2
378,220,0,2
379,221,0,2
380,224,0,2
381,225,0,2
382,226,0,2
383,228,0,2
384,229,0,2
385,230,0,2
386,231,0,2
387,232,0,2
388,236,0,2
389,248,0,2
390,252,0,2
391,254,0,2
392,257,0,2
393,258,0,2
394,260,0,2
395,261,0,2
396,262,0,2
397,264,0,2
398,267,0,2
399,268,0,2
400,269,0,2
401,270,0,2
402,271,0,2
403,272,0,2
404,274,0,2
405,275,0,2
406,277,0,2
407,278,0,2
408,279,0,2
409,281,0,2
410,283,0,2
411,284,0,2
412,286,0,2
413,301,0,2
414,304,0,2
415,306,0,2
416,314,1,2
417,6,1,3
418,21,1,3
419,22,1,3
420,25,1,3
421,28,1,3
422,33,1,3
423,41,1,3
424,60,0,3
425,91,0,3
426,95,0,3
427,99,0,3
428,100,0,3
429,103,0,3
430,106,0,3
431,118,0,3
432,222,0,3
433,228,0,3
434,229,0,3
435,231,0,3
436,242,0,3
437,254,1,3
438,2,1,4
439,3,0,4
440,4,1,4
441,5,1,4
442,7,1,4
443,10,1,4
444,11,1,4
445,12,1,4
446,13,0,4
447,21,1,4
448,22,1,4
449,31,1,4
450,32,0,4
451,33,1,4
452,34,1,4
453,40,1,4
454,44,0,4
455,49,1,4
456,50,1,4
457,58,0,4
458,60,0,4
459,62,0,4
460,64,0,4
461,65,0,4
462,66,0,4
463,67,0,4
464,70,0,4
465,71,0,4
466,72,0,4
467,73,0,4
468,74,0,4
469,75,0,4
470,76,0,4
471,78,0,4
472,79,0,4
473,80,0,4
474,81,0,4
475,82,0,4
476,83,0,4
477,85,0,4
478,86,0,4
479,88,0,4
480,89,0,4
481,90,0,4
482,91,0,4
483,92,0,4
484,93,0,4
485,94,0,4
486,95,0,4
487,97,0,4
488,99,0,4
489,100,0,4
490,103,0,4
491,105,0,4
492,116,0,4
493,119,0,4
494,121,0,4
495,123,0,4
496,127,0,4
497,131,0,4
498,132,0,4
499,134,0,4
500,136,0,4
501,142,0,4
502,143,0,4
503,144,0,4
504,147,0,4
505,158,0,4
506,161,1,4
507,166,0,4
508,167,0,4
509,175,0,4
510,183,0,4
511,186,0,4
512,192,0,4
513,193,0,4
514,196,0,4
515,198,0,4
516,200,0,4
517,201,0,4
518,202,0,4
519,203,0,4
520,204,0,4
521,206,0,4
522,207,0,4
523,208,0,4
524,209,0,4
525,210,0,4
526,211,0,4
527,212,0,4
528,213,0,4
529,214,0,4
530,216,0,4
531,217,0,4
532,218,0,4
533,219,0,4
534,220,0,4
535,221,0,4
536,223,0,4
537,224,0,4
538,225,0,4
539,226,0,4
540,228,0,4
541,229,0,4
542,230,0,4
543,231,0,4
544,232,0,4
545,233,0,4
546,234,0,4
547,235,0,4
548,237,0,4
549,242,0,4
550,243,0,4
551,248,0,4
552,254,0,4
553,255,0,4
554,258,0,4
555,260,0,4
556,264,0,4
557,265,0,4
558,266,0,4
559,267,0,4
560,269,0,4
561,270,0,4
562,271,0,4
563,272,0,4
564,274,0,4
565,277,0,4
566,278,0,4
567,281,0,4
568,286,0,4
569,291,1,4
570,301,0,4
571,302,0,4
572,303,0,4
573,308,0,4
574,314,1,4
575,329,0,4
576,330,0,4
577,333,0,4
578,2,1,5
579,3,0,5
580,4,1,5
581,5,1,5
582,6,1,5
583,7,1,5
584,9,1,5
585,11,1,5
586,12,1,5
587,17,1,5
588,19,1,5
589,20,1,5
590,21,1,5
591,22,1,5
592,23,1,5
593,24,1,5
594,28,1,5
595,30,1,5
596,32,0,5
597,33,1,5
598,34,1,5
599,40,1,5
600,41,1,5
601,44,0,5
602,45,1,5
603,48,1,5
604,49,1,5
605,50,1,5
606,58,0,5
607,60,0,5
608,62,0,5
609,65,0,5
610,67,0,5
611,70,0,5
612,79,0,5
613,80,0,5
614,85,0,5
615,88,0,5
616,91,0,5
617,93,0,5
618,95,0,5
619,99,0,5
620,100,0,5
621,105,0,5
622,121,0,5
623,122,0,5
624,123,0,5
625,127,0,5
626,131,0,5
627,132,0,5
628,134,0,5
629,136,0,5
630,141,0,5
631,144,0,5
632,146,0,5
633,147,0,5
634,150,0,5
635,157,0,5
636,158,0,5
637,161,1,5
638,162,1,5
639,163,1,5
640,167,0,5
641,177,1,5
642,183,0,5
643,186,0,5
644,192,0,5
645,193,0,5
646,200,0,5
647,202,0,5
648,203,0,5
649,204,0,5
650,218,0,5
651,221,0,5
652,223,0,5
653,224,0,5
654,225,0,5
655,228,0,5
656,229,0,5
657,230,0,5
658,231,0,5
659,232,0,5
660,234,0,5
661,236,0,5
662,237,0,5
663,238,0,5
664,248,0,5
665,252,0,5
666,254,0,5
667,258,0,5
668,261,0,5
669,262,0,5
670,264,0,5
671,266,0,5
672,267,0,5
673,268,0,5
674,269,0,5
675,270,0,5
676,271,0,5
677,272,0,5
678,274,0,5
679,276,0,5
680,277,0,5
681,278,0,5
682,281,0,5
683,283,0,5
684,284,0,5
685,285,0,5
686,286,0,5
687,297,0,5
688,313,0,5
689,314,1,5
690,329,0,5
691,339,0,5
692,2,1,6
693,4,1,6
694,6,0,6
695,7,1,6
696,10,1,6
697,11,1,6
698,17,1,6
699,18,1,6
700,19,1,6
701,20,1,6
702,21,1,6
703,22,1,6
704,24,1,6
705,27,0,6
706,30,1,6
707,32,0,6
708,35,0,6
709,37,0,6
710,44,0,6
711,46,0,6
712,48,0,6
713,51,0,6
714,52,0,6
715,58,0,6
716,60,0,6
717,62,0,6
718,64,0,6
719,65,0,6
720,67,0,6
721,69,0,6
722,71,0,6
723,72,0,6
724,73,0,6
725,75,0,6
726,76,0,6
727,79,0,6
728,80,0,6
729,85,0,6
730,88,0,6
731,89,0,6
732,91,0,6
733,92,0,6
734,93,0,6
735,94,0,6
736,95,0,6
737,96,0,6
738,98,0,6
739,99,0,6
740,100,0,6
741,101,0,6
742,103,0,6
743,104,0,6
744,105,0,6
745,109,0,6
746,112,0,6
747,113,0,6
748,114,0,6
749,115,0,6
750,116,0,6
751,117,0,6
752,118,0,6
753,119,0,6
754,121,0,6
755,122,0,6
756,123,0,6
757,124,0,6
758,125,0,6
759,128,0,6
760,131,0,6
761,132,0,6
762,133,0,6
763,134,0,6
764,135,0,6
765,136,0,6
766,137,0,6
767,138,0,6
768,139,0,6
769,140,0,6
770,141,0,6
771,142,0,6
772,144,0,6
773,146,0,6
774,147,0,6
775,148,0,6
776,152,0,6
777,158,0,6
778,159,0,6
779,160,0,6
780,161,1,6
781,162,1,6
782,167,0,6
783,168,0,6
784,169,0,6
785,183,0,6
786,184,0,6
787,186,0,6
788,189,0,6
789,191,0,6
790,192,0,6
791,193,0,6
792,195,0,6
793,198,0,6
794,200,0,6
795,201,0,6
796,202,0,6
797,203,0,6
798,204,0,6
799,206,0,6
800,207,0,6
801,210,0,6
802,218,0,6
803,220,0,6
804,221,0,6
805,223,0,6
806,224,0,6
807,225,0,6
808,226,0,6
809,227,0,6
810,228,0,6
811,229,0,6
812,230,0,6
813,231,0,6
814,232,0,6
815,233,0,6
816,235,0,6
817,236,0,6
818,238,0,6
819,239,0,6
820,240,0,6
821,242,0,6
822,243,0,6
823,244,0,6
824,245,0,6
825,246,0,6
826,247,0,6
827,248,0,6
828,250,0,6
829,252,0,6
830,253,0,6
831,254,0,6
832,255,0,6
833,256,0,6
834,257,0,6
835,258,0,6
836,260,0,6
837,261,0,6
838,262,0,6
839,263,0,6
840,264,0,6
841,265,0,6
842,267,0,6
843,268,0,6
844,269,0,6
845,270,0,6
846,271,0,6
847,272,0,6
848,273,0,6
849,274,0,6
850,276,0,6
851,278,0,6
852,279,0,6
853,280,0,6
854,281,0,6
855,283,0,6
856,284,0,6
857,285,0,6
858,286,0,6
859,301,0,6
860,302,0,6
861,304,0,6
862,305,0,6
863,306,0,6
864,308,0,6
865,310,0,6
866,329,0,6
867,331,0,6
868,333,0,6
869,0,1,7
870,2,1,7
871,4,1,7
872,7,1,7
873,9,1,7
874,10,1,7
875,11,1,7
876,12,1,7
877,17,1,7
878,19,1,7
879,20,1,7
880,21,1,7
881,22,1,7
882,30,1,7
883,40,1,7
884,41,1,7
885,44,0,7
886,46,1,7
887,49,1,7
888,50,1,7
889,55,0,7
890,57,0,7
891,58,0,7
892,59,0,7
893,60,0,7
894,64,0,7
895,65,0,7
896,67,0,7
897,70,0,7
898,72,0,7
899,73,0,7
900,78,0,7
901,79,0,7
902,80,0,7
903,83,0,7
904,85,0,7
905,88,0,7
906,91,0,7
907,92,0,7
908,93,0,7
909,94,0,7
910,95,0,7
911,96,0,7
912,99,0,7
913,100,0,7
914,103,0,7
915,105,0,7
916,116,0,7
917,117,0,7
918,118,0,7
919,123,0,7
920,125,0,7
921,127,0,7
922,131,0,7
923,132,0,7
924,140,0,7
925,143,0,7
926,144,0,7
927,146,0,7
928,147,0,7
929,153,0,7
930,157,0,7
931,158,0,7
932,161,1,7
933,162,1,7
934,163,1,7
935,167,0,7
936,168,1,7
937,177,1,7
938,179,0,7
939,181,0,7
940,183,0,7
941,184,0,7
942,186,0,7
943,188,0,7
944,189,0,7
945,190,0,7
946,192,0,7
947,193,0,7
948,198,0,7
949,200,0,7
950,201,0,7
951,202,0,7
952,204,0,7
953,207,0,7
954,209,0,7
955,214,0,7
956,215,1,7
957,218,0,7
958,220,0,7
959,221,0,7
960,223,0,7
961,224,0,7
962,225,0,7
963,226,0,7
964,228,0,7
965,229,0,7
966,230,0,7
967,231,0,7
968,232,0,7
969,235,0,7
970,236,0,7
971,237,0,7
972,238,0,7
973,242,0,7
974,248,0,7
975,252,0,7
976,254,0,7
977,257,0,7
978,258,0,7
979,259,0,7
980,260,0,7
981,261,0,7
982,262,0,7
983,264,0,7
984,267,0,7
985,268,0,7
986,269,0,7
987,270,0,7
988,272,0,7
989,274,0,7
990,275,0,7
991,276,0,7
992,277,0,7
993,278,0,7
994,281,0,7
995,283,0,7
996,286,0,7
997,297,0,7
998,303,1,7
999,305,0,7
1000,314,1,7
1001,333,0,7
1002,337,0,7
1003,2,1,8
1004,4,1,8
1005,7,1,8
1006,9,1,8
1007,10,1,8
1008,11,1,8
1009,17,1,8
1010,21,1,8
1011,22,1,8
1012,30,1,8
1013,32,0,8
1014,33,1,8
1015,34,1,8
1016,37,0,8
1017,40,1,8
1018,41,1,8
1019,44,0,8
1020,46,0,8
1021,49,1,8
1022,50,1,8
1023,58,0,8
1024,60,0,8
1025,62,0,8
1026,63,0,8
1027,64,0,8
1028,65,0,8
1029,67,0,8
1030,70,0,8
1031,71,0,8
1032,72,0,8
1033,73,0,8
1034,75,0,8
1035,76,0,8
1036,78,0,8
1037,79,0,8
1038,80,0,8
1039,83,0,8
1040,85,0,8
1041,88,0,8
1042,89,0,8
1043,91,0,8
1044,92,0,8
1045,93,0,8
1046,94,0,8
1047,95,0,8
1048,97,0,8
1049,99,0,8
1050,100,0,8
1051,103,0,8
1052,105,0,8
1053,112,0,8
1054,114,0,8
1055,117,0,8
1056,118,0,8
1057,121,0,8
1058,123,0,8
1059,125,0,8
1060,126,0,8
1061,127,0,8
1062,131,0,8
1063,132,0,8
1064,134,0,8
1065,136,0,8
1066,140,0,8
1067,141,0,8
1068,142,0,8
1069,143,0,8
1070,144,0,8
1071,146,0,8
1072,147,0,8
1073,151,0,8
1074,153,0,8
1075,156,0,8
1076,157,0,8
1077,158,0,8
1078,162,1,8
1079,167,0,8
1080,183,0,8
1081,184,0,8
1082,186,0,8
1083,188,0,8
1084,189,0,8
1085,192,0,8
1086,193,0,8
1087,198,0,8
1088,200,0,8
1089,201,0,8
1090,202,0,8
1091,203,0,8
1092,204,0,8
1093,206,0,8
1094,207,0,8
1095,209,0,8
1096,210,0,8
1097,213,0,8
1098,218,0,8
1099,220,0,8
1100,221,0,8
1101,223,0,8
1102,224,0,8
1103,225,0,8
1104,226,0,8
1105,228,0,8
1106,229,0,8
1107,230,0,8
1108,231,0,8
1109,232,0,8
1110,233,0,8
1111,235,0,8
1112,236,0,8
1113,237,0,8
1114,238,0,8
1115,242,0,8
1116,243,0,8
1117,248,0,8
1118,252,0,8
1119,254,0,8
1120,255,0,8
1121,258,0,8
1122,260,0,8
1123,261,0,8
1124,262,0,8
1125,264,0,8
1126,265,0,8
1127,266,0,8
1128,267,0,8
1129,268,0,8
1130,269,0,8
1131,270,0,8
1132,271,0,8
1133,272,0,8
1134,274,0,8
1135,276,0,8
1136,277,0,8
1137,278,0,8
1138,281,0,8
1139,283,0,8
1140,284,0,8
1141,285,0,8
1142,286,0,8
1143,298,0,8
1144,304,0,8
1145,314,1,8
1146,329,0,8
1147,332,0,8
1148,3,0,9
1149,9,1,9
1150,10,1,9
1151,11,1,9
1152,13,0,9
1153,15,0,9
1154,18,1,9
1155,19,1,9
1156,20,1,9
1157,22,1,9
1158,29,1,9
1159,30,1,9
1160,31,1,9
1161,33,1,9
1162,37,0,9
1163,39,0,9
1164,42,0,9
1165,44,0,9
1166,46,0,9
1167,49,1,9
1168,56,0,9
1169,58,0,9
1170,60,0,9
1171,62,0,9
1172,63,0,9
1173,64,0,9
1174,65,0,9
1175,67,0,9
1176,68,0,9
1177,70,0,9
1178,71,0,9
1179,72,0,9
1180,73,0,9
1181,75,0,9
1182,76,0,9
1183,77,0,9
1184,78,0,9
1185,79,0,9
1186,80,0,9
1187,81,0,9
1188,82,0,9
1189,83,0,9
1190,85,0,9
1191,86,0,9
1192,88,0,9
1193,89,0,9
1194,91,0,9
1195,92,0,9
1196,93,0,9
1197,94,0,9
1198,95,0,9
1199,96,0,9
1200,97,0,9
1201,99,0,9
1202,100,0,9
1203,101,0,9
1204,103,0,9
1205,105,0,9
1206,109,0,9
1207,112,0,9
1208,114,0,9
1209,115,0,9
1210,116,0,9
1211,117,0,9
1212,118,0,9
1213,119,0,9
1214,121,0,9
1215,123,0,9
1216,124,0,9
1217,125,0,9
1218,126,0,9
1219,127,0,9
1220,128,0,9
1221,129,0,9
1222,131,0,9
1223,132,0,9
1224,134,0,9
1225,136,0,9
1226,138,0,9
1227,141,0,9
1228,142,0,9
1229,143,0,9
1230,144,0,9
1231,146,0,9
1232,147,0,9
1233,149,0,9
1234,150,0,9
1235,153,0,9
1236,154,0,9
1237,155,0,9
1238,156,0,9
1239,157,0,9
1240,158,0,9
1241,161,1,9
1242,165,0,9
1243,166,0,9
1244,175,0,9
1245,177,1,9
1246,183,0,9
1247,184,0,9
1248,185,0,9
1249,186,0,9
1250,189,0,9
1251,190,0,9
1252,192,0,9
1253,193,0,9
1254,196,0,9
1255,197,0,9
1256,198,0,9
1257,199,0,9
1258,200,0,9
1259,201,0,9
1260,202,0,9
1261,203,0,9
1262,204,0,9
1263,205,0,9
1264,206,0,9
1265,207,0,9
1266,208,0,9
1267,209,0,9
1268,210,0,9
1269,211,0,9
1270,212,0,9
1271,213,0,9
1272,214,0,9
1273,216,0,9
1274,217,0,9
1275,218,0,9
1276,220,0,9
1277,221,0,9
1278,223,0,9
1279,225,0,9
1280,226,0,9
1281,228,0,9
1282,229,0,9
1283,230,0,9
1284,231,0,9
1285,232,0,9
1286,233,0,9
1287,235,0,9
1288,236,0,9
1289,238,0,9
1290,243,0,9
1291,248,0,9
1292,249,0,9
1293,250,0,9
1294,251,0,9
1295,252,0,9
1296,254,0,9
1297,255,0,9
1298,257,0,9
1299,258,0,9
1300,259,0,9
1301,260,0,9
1302,261,0,9
1303,262,0,9
1304,264,0,9
1305,265,0,9
1306,266,0,9
1307,267,0,9
1308,268,0,9
1309,269,0,9
1310,270,0,9
1311,271,0,9
1312,272,0,9
1313,273,0,9
1314,274,0,9
1315,276,0,9
1316,278,0,9
1317,279,0,9
1318,281,0,9
1319,283,0,9
1320,285,0,9
1321,286,0,9
1322,297,0,9
1323,299,0,9
1324,300,0,9
1325,301,0,9
1326,302,0,9
1327,304,0,9
1328,308,0,9
1329,328,0,9
1330,329,0,9
1331,333,0,9
1332,337,0,9
1333,340,0,9
1334,0,1,10
1335,2,1,10
1336,4,1,10
1337,6,1,10
1338,10,1,10
1339,11,1,10
1340,13,0,10
1341,21,1,10
1342,22,1,10
1343,28,1,10
1344,31,0,10
1345,32,0,10
1346,33,1,10
1347,34,1,10
1348,37,0,10
1349,40,1,10
1350,42,0,10
1351,44,0,10
1352,46,0,10
1353,49,1,10
1354,58,0,10
1355,60,0,10
1356,62,0,10
1357,63,0,10
1358,64,0,10
1359,65,0,10
1360,66,0,10
1361,67,0,10
1362,69,0,10
1363,70,0,10
1364,71,0,10
1365,72,0,10
1366,73,0,10
1367,75,0,10
1368,76,0,10
1369,77,0,10
1370,78,0,10
1371,79,0,10
1372,80,0,10
1373,81,0,10
1374,83,0,10
1375,84,0,10
1376,85,0,10
1377,86,0,10
1378,87,0,10
1379,88,0,10
1380,89,0,10
1381,91,0,10
1382,92,0,10
1383,93,0,10
1384,94,0,10
1385,95,0,10
1386,96,0,10
1387,99,0,10
1388,100,0,10
1389,103,0,10
1390,105,0,10
1391,109,0,10
1392,112,0,10
1393,114,0,10
1394,116,0,10
1395,117,0,10
1396,118,0,10
1397,121,0,10
1398,122,0,10
1399,123,0,10
1400,127,0,10
1401,131,0,10
1402,132,0,10
1403,134,0,10
1404,136,0,10
1405,137,0,10
1406,140,0,10
1407,142,0,10
1408,144,0,10
1409,146,0,10
1410,147,0,10
1411,148,0,10
1412,157,0,10
1413,158,0,10
1414,159,0,10
1415,161,1,10
1416,162,1,10
1417,165,0,10
1418,166,0,10
1419,167,0,10
1420,168,0,10
1421,175,0,10
1422,183,0,10
1423,186,0,10
1424,189,0,10
1425,192,0,10
1426,193,0,10
1427,196,0,10
1428,197,0,10
1429,198,0,10
1430,199,0,10
1431,200,0,10
1432,201,0,10
1433,202,0,10
1434,203,0,10
1435,204,0,10
1436,206,0,10
1437,207,0,10
1438,208,0,10
1439,209,0,10
1440,210,0,10
1441,211,0,10
1442,212,0,10
1443,213,0,10
1444,214,0,10
1445,217,0,10
1446,218,0,10
1447,221,0,10
1448,223,0,10
1449,224,0,10
1450,225,0,10
1451,226,0,10
1452,228,0,10
1453,230,0,10
1454,231,0,10
1455,232,0,10
1456,233,0,10
1457,236,0,10
1458,237,0,10
1459,238,0,10
1460,242,0,10
1461,243,0,10
1462,248,0,10
1463,252,0,10
1464,254,0,10
1465,255,0,10
1466,256,0,10
1467,257,0,10
1468,258,0,10
1469,259,0,10
1470,260,0,10
1471,261,0,10
1472,262,0,10
1473,264,0,10
1474,265,0,10
1475,266,0,10
1476,267,0,10
1477,268,0,10
1478,269,0,10
1479,270,0,10
1480,271,0,10
1481,272,0,10
1482,273,0,10
1483,274,0,10
1484,275,0,10
1485,276,0,10
1486,278,0,10
1487,279,0,10
1488,280,0,10
1489,281,0,10
1490,283,0,10
1491,284,0,10
1492,286,0,10
1493,291,1,10
1494,301,0,10
1495,303,0,10
1496,304,0,10
1497,305,0,10
1498,306,0,10
1499,328,0,10
1500,329,0,10
1501,333,0,10
1502,340,0,10
1503,0,1,11
1504,3,0,11
1505,4,1,11
1506,5,1,11
1507,10,1,11
1508,11,1,11
1509,13,0,11
1510,18,1,11
1511,19,1,11
1512,22,1,11
1513,26,1,11
1514,28,1,11
1515,29,0,11
1516,31,0,11
1517,32,0,11
1518,33,1,11
1519,35,0,11
1520,39,0,11
1521,44,0,11
1522,48,0,11
1523,49,1,11
1524,51,0,11
1525,58,0,11
1526,60,0,11
1527,61,0,11
1528,62,0,11
1529,63,0,11
1530,64,0,11
1531,65,0,11
1532,67,0,11
1533,68,0,11
1534,69,0,11
1535,70,0,11
1536,71,0,11
1537,75,0,11
1538,76,0,11
1539,77,0,11
1540,78,0,11
1541,79,0,11
1542,80,0,11
1543,85,0,11
1544,88,0,11
1545,89,0,11
1546,91,0,11
1547,93,0,11
1548,94,0,11
1549,95,0,11
1550,99,0,11
1551,100,0,11
1552,101,0,11
1553,103,0,11
1554,105,0,11
1555,106,0,11
1556,107,0,11
1557,109,0,11
1558,112,0,11
1559,113,0,11
1560,114,0,11
1561,115,0,11
1562,116,0,11
1563,118,0,11
1564,119,0,11
1565,120,0,11
1566,121,0,11
1567,123,0,11
1568,125,0,11
1569,127,0,11
1570,131,0,11
1571,132,0,11
1572,133,0,11
1573,134,0,11
1574,135,0,11
1575,136,0,11
1576,138,0,11
1577,139,0,11
1578,140,0,11
1579,141,0,11
1580,142,0,11
1581,144,0,11
1582,145,0,11
1583,146,0,11
1584,147,0,11
1585,148,0,11
1586,150,0,11
1587,151,0,11
1588,153,0,11
1589,155,0,11
1590,156,0,11
1591,158,0,11
1592,159,0,11
1593,161,1,11
1594,162,1,11
1595,163,0,11
1596,165,0,11
1597,166,0,11
1598,167,0,11
1599,174,0,11
1600,175,0,11
1601,183,0,11
1602,185,0,11
1603,186,0,11
1604,192,0,11
1605,193,0,11
1606,196,0,11
1607,197,0,11
1608,198,0,11
1609,199,0,11
1610,200,0,11
1611,201,0,11
1612,202,0,11
1613,203,0,11
1614,204,0,11
1615,206,0,11
1616,208,0,11
1617,209,0,11
1618,210,0,11
1619,211,0,11
1620,213,0,11
1621,218,0,11
1622,220,0,11
1623,221,0,11
1624,223,0,11
1625,224,0,11
1626,225,0,11
1627,226,0,11
1628,228,0,11
1629,229,0,11
1630,230,0,11
1631,231,0,11
1632,238,0,11
1633,239,0,11
1634,240,0,11
1635,243,0,11
1636,244,0,11
1637,245,0,11
1638,246,0,11
1639,247,0,11
1640,248,0,11
1641,249,0,11
1642,250,0,11
1643,251,0,11
1644,252,0,11
1645,253,0,11
1646,254,0,11
1647,255,0,11
1648,256,0,11
1649,257,0,11
1650,258,0,11
1651,259,0,11
1652,260,0,11
1653,261,0,11
1654,262,0,11
1655,263,0,11
1656,264,0,11
1657,265,0,11
1658,266,0,11
1659,267,0,11
1660,268,0,11
1661,269,0,11
1662,270,0,11
1663,271,0,11
1664,272,0,11
